Name	BIBCode	Title	PubInfo	Citations	date
Wang, Junfeng	2007PhDT........18W	An x-ray study of massive star forming regions with CHANDRA	Proquest Dissertations And Theses 2007.  Section 0176, Part 0606 259 pages; [Ph.D. dissertation].United States -- Pennsylvania: The Pennsylvania State University; 2007. Publication Number: AAT 3299067. Source:           DAI-B 69/01, Jul 2008	3	2007
Ponti, Gabriele	2007PhDT.......196P	Probing the innermost regions around supermassive black holes through X-ray spectral variability	Thesis (Ph.D.)-- [Universita di Bologna], [2007]. Advisor: [Palumbo, Giorgio G. C.]	3	2007
Soderberg, Alicia	2007PhDT.......429S	Many facets of cosmic explosions	Thesis (Ph.D.)-- California Institute of Technology, 2007. Advisor Kulkarni, Shrinivas	5	2007
van der Horst, A. J.	2007PhDT........72V	Broadband view of blast wave physics : a study of gamma-ray burst afterglows	Ph.D. Thesis, Astronomical Institute Anton Pannekoek, University of Amsterdam, The Netherlands, 2007. Advisor: R.A.M.J. Wijers	7	2007
Khokhar, Ali Zarrar	2007PhDT.......455K	Opal Based 3D Photonic Crystals	ProQuest Dissertations And Theses; Thesis (Ph.D.)--University of Glasgow (United Kingdom), 2007.; Publication Number: AAT 10984925; ISBN: 9780438378179; Source: Dissertation Abstracts International, Volume: 76-10C.; 170 p.	0	2007
Koutroumpa, Dimitra	2007PhDT.......456K	X-ray and UV gas emission and charge-exchange phenomena in the Heliosphere: application to various astrophysical systems	PhD Thesis, Universit&eacute; Pierre et Marie Curie - Paris 6, 2007	0	2007
Grimes, John P.	2008PhDT.........2G	X-ray and FUV observations of starburst galaxies: Probing galactic feedback at high energies	Proquest Dissertations And Theses 2008.  Section 0098, Part 0606 292 pages; [Ph.D. dissertation].United States -- Maryland: The Johns Hopkins University; 2008. Publication Number: AAT 3295795. Source:           DAI-B 69/01, Jul 2008, 2007	1	2008
Bogdanov, Slavko Bogdan	2008PhDT.........2B	X-ray emission from millisecond pulsars	Proquest Dissertations And Theses 2008.  Section 0084, Part 0606 170 pages; [Ph.D. dissertation].United States - - Massachusetts: Harvard University; 2008. Publication Number: AAT 3295901. Source:           DAI-B 69/01, Jul 2008, 2007	2	2008
Krauss, M. I.	2007PhDT........24K	X-ray Spectroscopy of Neutron Star Low-Mass X-ray Binaries	Ph.D. thesis, Dept. of Physics, Massachusetts Inst. of Technology (2007)	1	2007
Petric, Andreea Oana	2007PhDT........17P	Dust far and nearby: A multiwavelength approach to determining the properties of dust in different environments	Proquest Dissertations And Theses 2007.  Section 0054, Part 0606 138 pages; [Ph.D. dissertation].United States -- New York: Columbia University; 2007. Publication Number: AAT 3285149. Source:           DAI-B 68/09, p. 6016, Mar 2008	0	2007
Doane, Nathaniel	2007PhDT........19D	Diffuse hot gas in nearby face-on spiral galaxies	Proquest Dissertations And Theses 2007.  Section 0262, Part 0606 158 pages; [Ph.D. dissertation].United States -- Wisconsin: The University of Wisconsin - Madison; 2007. Publication Number: AAT 3294059. Source:           DAI-B 68/12, Jun 2008	0	2007
Dunn, Jay P.	2007PhDT........20D	Intrinsic absorption with the Far Ultraviolet Spectroscopic Explorer	Proquest Dissertations And Theses 2007.  Section 0079, Part 0606 183 pages; [Ph.D. dissertation].United States -- Georgia: Georgia State University; 2007. Publication Number: AAT 3293824. Source:           DAI-B 68/12, Jun 2008	0	2007
Marassi de Souza Almeida, Lucio	2007PhDT.......405M	Efeitos n&atilde;o-gaussianos em astrof&iacute;sica e cosmologia	PhD thesis, Universidade Federal do Rio Grande do Norte, RN, Brazil, 2007	0	2007
Bodewits, Dennis	2007PhDT.........5B	Cometary X-rays. Solar wind charge exchange in cometary atmospheres	PhD Thesis, University of Groningen, 2007	15	2007
Lehmer, Bret	2007PhDT........24L	Characterizing the X-ray Properties and Evolution of Distant Galaxies Using Deep Extragalactic Surveys	PhD, Pennsylvania State University, 2007	1	2007
Kruse-Madsen, Kristin Carolin	2007PhDT.......447K	X-ray Telescopes: Development, Flight and Analysis	Ph. D. thesis, Niels Bohr Institute, University of Copenhagen, Denmark, (2007). Advisors: Kristian Pedersen, Finn E. Christensen, Jen Horth	0	2007
Ji, Li	2007PhDT.........1J	A spectral code for non-equilibrium plasma and its applications	PhD Thesis,  Proquest Dissertations And Theses 2007. Section 0118, Part 0606 121 pages; [Ph.D. dissertation].United States -- Massachusetts: University of Massachusetts Amherst; 2007. Publication Number: AAT 3254918. Source: DAI-B 68/03, Sep 2007	0	2007
Forbrich, Jan	2007PhDT.........5F	High-energy processes in low-mass protostars &ndash; an X-ray to radio multi-wavelength perspective	PhD Thesis, University of Bonn, 2007	0	2007
de Plaa, Jelle	2007PhDT.......188D	Enrichment Study Of Hot Intra-Cluster Gas Through X-Ray Spectroscopy	, 2007	0	2007
Matheson, Heather Colleen	2006MsT..........1M	A study of the Crab-like supernova remnant G21.5-0.9 with the Chandra X-ray Observatory	Proquest Dissertations And Theses 2006.  Section 0303, Part 0606 132 pages; [M.Sc. dissertation].Canada: University of Manitoba (Canada); 2006. Publication Number: AAT MR22561. Source: MAI 45/03, Jun 2007	0	2006
Hoffman, Kelsey L.	2006MsT..........2H	A study of X-ray observations of Aquila X-1	Proquest Dissertations And Theses 2006.  Section 0781, Part 0606 94 pages; [M.Sc. dissertation].Canada: McGill University (Canada); 2006. Publication Number: AAT MR28493. Source: MAI 45/06, p. 3175, Dec 2007	0	2006
Tepedelenlioglu, Emre	2006PhDT.........9T	X-ray observations of rotation powered pulsars	PhD Thesis: Proquest Dissertations And Theses 2006. Section 0262, Part 0606 99 pages; [Ph.D. dissertation].United States -- Wisconsin: The University of Wisconsin - Madison; 2006. Publication Number: AAT 3234652. Source:           DAI-B 67/09, Mar 2007	0	2006
